"","ERR688505_500K_merged_Abundance","ERR688506_500K_merged_Abundance","ERR688507_500K_merged_Abundance","ERR688508_500K_merged_Abundance","ERR688509_500K_merged_Abundance","ERR688510_500K_merged_Abundance","ERR688511_500K_merged_Abundance","ERR688512_500K_merged_Abundance","ERR688513_500K_merged_Abundance","ERR688514_500K_merged_Abundance","ERR688515_500K_merged_Abundance","ERR688516_500K_merged_Abundance","ERR688517_500K_merged_Abundance","ERR688518_500K_merged_Abundance","ERR688519_500K_merged_Abundance","ERR688520_500K_merged_Abundance","ERR688521_500K_merged_Abundance","ERR688522_500K_merged_Abundance","ERR688523_500K_merged_Abundance","ERR688524_500K_merged_Abundance","ERR688525_500K_merged_Abundance","ERR688526_500K_merged_Abundance","ERR688527_500K_merged_Abundance","ERR688528_500K_merged_Abundance","ERR688529_500K_merged_Abundance","ERR688530_500K_merged_Abundance","ERR688531_500K_merged_Abundance","ERR688532_500K_merged_Abundance","ERR688533_500K_merged_Abundance","ERR688534_500K_merged_Abundance","ERR688535_500K_merged_Abundance","ERR688536_500K_merged_Abundance","ERR688537_500K_merged_Abundance","ERR688538_500K_merged_Abundance","ERR688539_500K_merged_Abundance","ERR688540_500K_merged_Abundance","ERR688541_500K_merged_Abundance","ERR688542_500K_merged_Abundance","ERR688543_500K_merged_Abundance","ERR688544_500K_merged_Abundance","ERR688545_500K_merged_Abundance","ERR688546_500K_merged_Abundance","ERR688547_500K_merged_Abundance","ERR688548_500K_merged_Abundance","ERR688549_500K_merged_Abundance","ERR688550_500K_merged_Abundance","ERR688551_500K_merged_Abundance","ERR688552_500K_merged_Abundance","ERR688553_500K_merged_Abundance","ERR688554_500K_merged_Abundance","ERR688555_500K_merged_Abundance","ERR688556_500K_merged_Abundance","ERR688557_500K_merged_Abundance","ERR688558_500K_merged_Abundance","ERR688559_500K_merged_Abundance","ERR688560_500K_merged_Abundance","ERR688561_500K_merged_Abundance","ERR688562_500K_merged_Abundance","ERR688563_500K_merged_Abundance","ERR688564_500K_merged_Abundance","ERR688565_500K_merged_Abundance","ERR688566_500K_merged_Abundance","ERR688567_500K_merged_Abundance","ERR688568_500K_merged_Abundance","ERR688569_500K_merged_Abundance","ERR688570_500K_merged_Abundance","ERR688571_500K_merged_Abundance","ERR688572_500K_merged_Abundance","ERR688573_500K_merged_Abundance","ERR688574_500K_merged_Abundance","ERR688575_500K_merged_Abundance","ERR688576_500K_merged_Abundance","ERR688577_500K_merged_Abundance","ERR688578_500K_merged_Abundance","ERR688579_500K_merged_Abundance","ERR688580_500K_merged_Abundance","ERR688581_500K_merged_Abundance","ERR688582_500K_merged_Abundance","ERR688583_500K_merged_Abundance","ERR688584_500K_merged_Abundance","ERR688585_500K_merged_Abundance","ERR688586_500K_merged_Abundance","ERR688587_500K_merged_Abundance","ERR688588_500K_merged_Abundance","ERR688589_500K_merged_Abundance","ERR688590_500K_merged_Abundance","ERR688591_500K_merged_Abundance","ERR688592_500K_merged_Abundance","ERR688593_500K_merged_Abundance","ERR688594_500K_merged_Abundance","ERR688595_500K_merged_Abundance","ERR688596_500K_merged_Abundance","ERR688597_500K_merged_Abundance","ERR688598_500K_merged_Abundance","ERR688599_500K_merged_Abundance","ERR688600_500K_merged_Abundance","ERR688601_500K_merged_Abundance","ERR688602_500K_merged_Abundance","ERR688603_500K_merged_Abundance","ERR688604_500K_merged_Abundance","ERR688605_500K_merged_Abundance","ERR688606_500K_merged_Abundance","ERR688607_500K_merged_Abundance","ERR688608_500K_merged_Abundance","ERR688609_500K_merged_Abundance","ERR688610_500K_merged_Abundance","ERR688611_500K_merged_Abundance","ERR688612_500K_merged_Abundance","ERR688613_500K_merged_Abundance","ERR688614_500K_merged_Abundance","ERR688615_500K_merged_Abundance","ERR688616_500K_merged_Abundance","ERR688617_500K_merged_Abundance","ERR688618_500K_merged_Abundance","ERR688619_500K_merged_Abundance","ERR688620_500K_merged_Abundance","ERR688621_500K_merged_Abundance","ERR688622_500K_merged_Abundance","ERR688623_500K_merged_Abundance","ERR688624_500K_merged_Abundance","ERR688625_500K_merged_Abundance","ERR688626_500K_merged_Abundance","ERR688627_500K_merged_Abundance","ERR688628_500K_merged_Abundance","ERR688629_500K_merged_Abundance","ERR688630_500K_merged_Abundance","ERR688631_500K_merged_Abundance","ERR688632_500K_merged_Abundance","ERR688633_500K_merged_Abundance","ERR688634_500K_merged_Abundance","ERR688635_500K_merged_Abundance","ERR688636_500K_merged_Abundance","ERR688637_500K_merged_Abundance","ERR688638_500K_merged_Abundance","ERR688639_500K_merged_Abundance","ERR688640_500K_merged_Abundance","ERR688641_500K_merged_Abundance","ERR688642_500K_merged_Abundance","ERR688643_500K_merged_Abundance","ERR688644_500K_merged_Abundance","ERR688645_500K_merged_Abundance","ERR688646_500K_merged_Abundance","ERR688647_500K_merged_Abundance","ERR688648_500K_merged_Abundance","ERR688649_500K_merged_Abundance","ERR688650_500K_merged_Abundance","ERR688651_500K_merged_Abundance","ERR710424_500K_merged_Abundance","ERR710425_500K_merged_Abundance","ERR710426_500K_merged_Abundance","ERR710427_500K_merged_Abundance","ERR710428_500K_merged_Abundance","ERR710429_500K_merged_Abundance","ERR710430_500K_merged_Abundance","ERR710431_500K_merged_Abundance","ERR710432_500K_merged_Abundance"
"PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",8.7164e-05,4.16383e-05,6.54131e-05,0,7.33211e-05,0.000177066,0.000182459,0.000181498,0.000142131,0,0,0.000198872,0,0.000103205,5.90024e-05,8.64446e-05,7.68602e-05,0.000110927,0,0,0,0,0,0,0,0.000132476,0.000158568,0.000108989,0,5.78566e-05,9.24773e-05,4.16034e-05,6.98825e-05,6.41863e-05,0,0,0.000142645,7.55156e-05,0.000201654,0,0.000105275,0,0,0.000205736,4.2576e-05,0.000172799,0,6.78147e-05,0,0.000232994,6.69461e-05,5.40168e-05,0.000212775,0,0,7.01722e-05,4.86654e-05,0.000283385,0,0.000109626,0,5.80258e-05,0.000121849,5.18437e-05,0,0.000149568,0.000144022,8.75896e-05,8.40776e-05,0,0,0,0.000171167,0,0,0.000176633,7.29992e-05,0,9.16868e-05,0.000193597,0.000170326,0,0,0,0,8.48278e-05,0.00018598,6.69948e-05,5.07969e-05,0.000245653,0.000175862,0.000178323,0,0.000205734,8.32453e-05,3.68931e-05,0,0,0,5.63032e-05,0.000125997,0,2.77358e-05,6.89341e-05,0,0,6.72807e-05,0.000137257,0.000116143,0,0.000237913,0.000161191,0.000162282,4.91972e-05,0,7.58289e-05,0.000137572,0,6.99481e-05,7.9007e-05,0,0,0,0,4.29904e-05,0,9.81752e-05,0.00016092,0,0,3.77631e-05,7.36868e-05,0,0,0,0.000199939,0,8.83075e-05,0,0,6.6672e-05,8.82774e-05,0.000100237,0,0,0,5.26561e-05,0,0,6.96853e-05,0,0,0,0,0,4.34654e-05
"PWY-2941: L-lysine biosynthesis II",0.000201669,9.68051e-05,6.39128e-05,0,0,0.000315374,0.000232655,8.0483e-05,0.000147309,0,8.6565e-05,0,0,7.3441e-05,0.000276386,0,0.000261689,0,9.04877e-05,9.0393e-05,0,9.35657e-05,0,0,0,0,0,0.000246137,0,0,0.00027016,0.000154275,0,0,0,6.06073e-05,0.000134511,7.25652e-05,0.000111346,0,0.000105787,0.000119902,8.06934e-05,0.000150088,8.51425e-05,0,0,0.000240585,0,0.000321066,0.000159745,0.000251385,0,0,0,0.00018552,0,0,8.75154e-05,9.57417e-05,0.000132613,0,0,6.48734e-05,0.000108619,4.70174e-05,0.000200598,0.000289146,9.62956e-05,0.00015307,0,6.37119e-05,0,0.000115399,0,0,0.000117782,0,5.34302e-05,0.000178035,0.00016257,0,0,0.00013107,0,0.000155625,0.000174946,0,0,0,3.42542e-05,0,0,7.74944e-05,0.000330259,0,0,0.00010769,7.43996e-05,0,9.11974e-05,0,0,0,0.000175563,0,0,0.000123427,7.72691e-05,0,0.000173719,0.000196558,0.000142392,7.76706e-05,8.63245e-05,0,0,0.000110912,9.52473e-05,0.00014049,0,7.67768e-05,0,0,6.93199e-05,0,9.01879e-05,0,0,0.000171195,0,8.47274e-05,0,2.85945e-05,9.24451e-05,0.000130862,0,0.000143581,0,0,0.000176701,6.43773e-05,8.47161e-05,0,0,0.000156367,0,0,0,0,0,0,0.000109663,6.73111e-05,0,0
"PWY-2942: L-lysine biosynthesis III",0.000339347,0.000186695,0.000322705,0.000366784,0.000348016,0.000479144,0.000449436,0.00050701,0.000362316,0.000254333,0.000237236,0.000339675,0.000268794,0.000364229,0.000462343,0.000294144,0.000495353,0.000433601,0.00027223,0.00012665,0.000216249,0.00029797,0.00020451,0.00011354,4.94811e-05,0.000362083,0.000668558,0.000567022,0.00033412,0.000259236,0.000357353,0.000400331,0.00067121,0.000364939,0.000489293,0.000305952,0.000261368,0.000356409,0.000306293,0.000238118,0.000225108,0.000345072,0.000223268,0.000302321,0.00048345,0.000388455,0.000178251,0.000462748,0.000258404,0.000512496,0.000333062,0.000262016,0.00029835,0.000349504,0.000208818,0.000368505,0.000569967,0.0005037,0.000533974,0.000284817,0.000164669,0.000433041,0.00028578,0.000480191,0.00039325,0.000220025,0.000429868,0.000416829,0.000361528,0.000256931,0.000237542,0.000212025,0.000203224,0.000247937,0.000160092,0.000328959,0.000273878,0,0.000219641,0.000524952,0.000388314,0.000218749,0.000359871,0.000573557,0.000426911,0.000207194,0.000471059,0.000389436,0.0002114,0.000761087,0.000243701,0.000396477,0.000217246,0.000560732,0.000446773,0.000150824,0.000253603,0.000516034,0.000514627,0.000157953,0.000370863,0.000420786,0.000492373,0.000304196,0.000257812,0.000260593,0.00033544,0.000310469,0.000337853,7.05632e-05,0.000718466,0.000412062,0.000435697,0.000323596,0.000216955,0.000276432,0.000369661,0.000362847,0.000388875,0.000251017,0.000307728,0.000130508,0.000172309,0.000347469,0.000310063,0.000203709,0.000363891,0.000292814,0.000177787,0.000217774,0.000173528,0.000176988,0.000250671,0.000327365,0.000214039,0.000317462,0.000451482,0.000247342,0.000281961,0.00044618,0.000359836,0.000229353,0.00029277,0.000496171,0.000207739,0.000346492,0.000253952,0.000221525,0.000310554,0.000241781,0.000210008,0.000291989,0.000158513,0.000419831,0.000193271,0.00018396
"PWY-3001: superpathway of L-isoleucine biosynthesis I",0.000320402,0.000151728,0.00019976,0,0.000297531,0.000429644,0.000502341,0.000395631,0.000502419,0.000219767,0.000142077,0.000285483,0.000129255,0.000309463,0.000434724,0.000217111,0.000429277,0.00044166,0.000176392,0.000152908,0.000124497,0.000335011,8.06568e-05,0,0,0.000326535,0.000281093,0.000494719,0.000344671,0.000432179,0.00042778,0.000351652,0.000462791,0.000332274,0.000341249,0.000218154,0.000212077,0.00029538,0.00031095,0.00016522,0.000208851,0.000301389,0,0.000340338,0.000277228,0.000419642,0,0.000380622,0.000160569,0.000552357,0.000353467,0.00033356,0.000364845,0.000193704,0.000155938,0.000361743,0.000274509,0.000522764,0.00014413,0.000177111,0.00013537,0.000349287,0.000237874,0.000248479,0,0.000231068,0.000334108,0.000349521,0.000296169,0.000195125,0.000114707,0.000184573,0.000243267,0.000137124,0,0.000417218,0.000229288,0,0.000154575,0.000463009,0.000392235,0.000185825,0.000335482,0.00039816,0.000104787,0.000228078,0.000527817,0.00034358,0.000191897,0.000633524,0.000367684,0.000340272,0.000207416,0.000416341,0.000466215,7.94345e-05,0.000204764,0.000341843,0.000285335,0.000207519,0.000347302,0.000306264,0.000213982,0.000251683,0.000259907,9.55072e-05,0,0.000390675,0.00033333,6.63488e-05,0.000645884,0.000414628,0.000407053,0.000198333,0.000208511,0.000357588,0.000314813,0.000386428,0.000340045,0.000172798,0.000194131,0.00017089,9.55287e-05,0.000259151,0.000246722,0,0.00038101,0.000370978,0.000179756,8.06424e-05,0.000109596,0.000213977,0,0.000356251,0.000215724,0.000345234,0.000272175,0.000242845,0,0,0.000279079,0.000159883,0.00026733,0,0.000218184,0,0.000198294,0.000154065,0.000259749,0.000206959,0.000180309,0.000181433,0.00019808,0.000324031,0.000128678,0.000137227
"PWY-3781: aerobic respiration I (cytochrome c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-3801: sucrose degradation II (sucrose synthase)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88154e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-3841: folate transformations II (plants)",0.000364163,0.000273557,0.000411803,0.000500717,0.000440659,0.000354028,0.000351684,0.000453965,0.000300127,0.000270082,0.000283329,0.000342195,0.000356882,0.00043487,0.000500623,0.000441677,0.000445626,0.000336056,0.00039411,0.000292318,0.000305356,0.000329573,0.000328987,0.000339628,0.000231824,0.000427996,0.000462634,0.000433667,0.000370926,0.000200637,0.00043438,0.00032142,0.000440662,0.000419495,0.000544159,0.000358539,0.000236863,0.000398318,0.00027779,0.000509365,0.00028327,0.00047268,0.000285068,0.000174588,0.000285405,0.000477562,0.000235568,0.000496384,0.000267028,0.000510441,0.000422789,0.000343981,0.000311269,0.000408679,0.000306824,0.000288988,0.000254679,0.00034753,0.000482325,0.000287052,0.000289347,0.000579701,0.000354731,0.000306453,0.000302079,0.000131149,0.000300139,0.000422632,0.000378503,0.000332404,0.000362098,0.000283209,0.000261365,0.00028219,0.000183831,0.000293965,0.000300866,0.000426668,0.000230587,0.000536276,0.000375792,0.000308772,0.000430008,0.000466315,0.000375052,0.000231228,0.00046681,0.000314454,0.000275239,0.000509431,0.000222546,0.000403139,0.000365828,0.00031958,0.000491957,0.000168137,0.0003732,0.000510364,0.000410154,0.000302169,0.000392531,0.000440798,0.000411677,0.000325822,0.000305698,0.000275099,0.000306678,0.000321354,0.000336413,0.000214263,0.000647672,0.000392048,0.000377014,0.000272158,0.000343221,0.000495529,0.000381942,0.000295057,0.000429088,0.000450027,0.000409605,0.000280177,0.000335003,0.000349348,0.000372221,0.000350583,0.000413945,0.000213188,0.000294014,0.000181156,0.000187613,0.00035826,0.0003356,0.000163779,0.000311782,0.000284675,0.000405389,0.000440298,0.00038379,0.000543299,0.000388484,0.000388362,0.000283187,0.000536724,0.000271812,0.000434802,0.000269741,0.000328646,0.000524404,0.000289698,0.000273989,0.000276557,0.000260489,0.000401689,0.000360789,0.000213627
"PWY-4041: &gamma;-glutamyl cycle",9.95196e-05,3.82358e-05,5.10008e-05,4.36841e-05,7.49148e-05,0.000126297,0.000152694,0.000130013,0.000240378,5.05674e-05,3.13708e-05,0.000137742,0,0.000104998,6.42317e-05,4.46615e-05,0.000112134,0.000114161,0,7.10355e-05,0,4.14906e-05,0,0,1.82907e-05,0.000132083,0.000201491,0.000398702,0,0.000266631,7.27055e-05,0.000113095,0,5.48799e-05,0,3.42796e-05,0.0001045,7.03389e-05,0.000242448,0,7.32538e-05,5.0234e-05,0,0.000232207,7.6632e-05,0.000124646,0,6.78564e-05,5.86494e-05,0.000252011,0,0.000127585,0.000259108,0,7.92478e-05,0.000362486,5.74543e-05,0.000274033,6.44353e-05,0.000123896,0,9.00816e-05,0.00012438,8.04334e-05,2.83036e-05,8.55831e-05,9.19023e-05,0.00011494,0.000158886,0,0,5.32548e-05,0.00016553,0,0,0.000252448,4.30908e-05,0,0.000104422,0.000147131,0.00012573,0,0.000150616,4.13731e-05,0,8.77011e-05,0.000186478,0.000231986,0,0.00035275,0.000252412,0.000111648,0,0.000151674,0.000241844,3.3014e-05,0,8.85366e-05,7.76393e-05,8.91235e-05,0,0.000143866,5.74579e-05,5.43341e-05,0,3.10314e-05,5.86675e-05,0.000225403,7.45143e-05,0,0.000245736,0.000125905,0.000132112,6.28981e-05,0,0.00011349,9.1942e-05,9.54019e-05,7.81237e-05,0,4.48971e-05,3.53068e-05,0,0,8.07447e-05,2.80492e-05,0.000263651,0.000328694,0,0,0,5.91478e-05,0,0.0004002,3.03365e-05,0.000208862,8.80193e-05,4.99922e-05,0,0,5.39055e-05,5.59178e-05,7.7217e-05,0,4.80064e-05,0,4.32244e-05,0,3.07659e-05,4.37818e-05,3.71913e-05,5.16757e-05,2.88286e-05,4.09566e-05,4.66599e-05,5.4318e-05
"PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93973e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-4702: phytate degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-4984: urea cycle",0,5.92047e-05,0,0,0,0,5.10597e-05,0,0,0,0,0,5.70186e-05,0,0,0,0,0,0,0,0,0,0.000132792,0,0,0,0,0.000143518,0,0,0,0,0,0,0,0,0.000110326,0,7.04664e-05,0,0,0,0,0,4.64369e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158502,0,0.000134643,0.000129338,9.8399e-05,0,0.000184335,0,4.94299e-05,0,0,0.000155867,0,0,0,9.22872e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58956e-05,0,0,0,0,7.72955e-05,0,0,0,0,0,0,0,0,0,8.68765e-05,0,5.48249e-05,0,0,0,7.7217e-05,0,0,0.000128113,0.000169563,0,0.000182176,0,0.000120602,6.75851e-05,0.00016056,0,0,0,0.00014069,0,0,0.000192387,0,5.33892e-05,0,9.76541e-05,7.84627e-05,3.14733e-05,0.000149946,0.000163449,0,0,0.000203824,0,8.01137e-05,7.16199e-05,0,0,0.000127587,0.000169961
"PWY-5004: superpathway of L-citrulline metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5005: biotin biosynthesis II",0,0,0,0,0,0,0,0,0,0,0,5.64915e-05,0,0,2.76765e-05,0,0,3.89775e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32542e-05,0,0,0,1.3654e-05,0,0,4.5482e-05,0,3.88158e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15743e-05,0,0,6.66318e-05,0,0,0,0,0,0,0,0.000140254,0,0,2.71177e-05,0,0,0,6.87639e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.258e-05,0,0,5.94986e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48307e-05,0,0,0,0,0,0,0,0,0,4.76503e-05,0,0,0,0,0,0,0,0,3.73749e-05,0,3.5222e-05,0,0,8.95065e-05,0,3.14449e-05,0,0,0,6.21311e-05,6.24376e-05,6.27716e-05,0,0,0,0,0.000102174,0,0
"PWY-5022: 4-aminobutanoate degradation V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31031e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29281e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96559e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5028: L-histidine degradation II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55076e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5030: L-histidine degradation III",5.33025e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82409e-05,0,0,7.84995e-05,0,2.95323e-05,0,0,0.000110945,3.49939e-05,0,0,0,0,0,0,0,9.9838e-05,0,0.000249317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229678,0,0.000100167,6.71059e-05,0,0,0.000158568,0,7.57502e-05,0,0,8.86946e-05,0,0,0,5.95146e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43009e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101956,0,0,0,0,0,3.70722e-05,0,0,3.4156e-05,0.000141664,0,0.00016091,0,8.07215e-05,4.92404e-05,0,0,0,0,0.000107758,3.07206e-05,0,3.61504e-05,0,0.000209241,0,3.35333e-05,0,0.000468216,7.15436e-05,0.00030716,0,3.96463e-05,0.00015369,0,3.43318e-05,6.28539e-05,0,0,0,5.07049e-05
"PWY-5055: nicotinate degradation III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5079: L-phenylalanine degradation III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5080: very long chain fatty acid biosynthesis I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PWY-5088: L-glutamate degradation VIII (to propanoate)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79344e-05,0,0,0,0,0,1.04791e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
