"","SRR6915103_500K_merged_Abundance","SRR6915104_500K_merged_Abundance","SRR6915105_500K_merged_Abundance","SRR6915106_500K_merged_Abundance","SRR6915107_500K_merged_Abundance","SRR6915108_500K_merged_Abundance","SRR6915109_500K_merged_Abundance","SRR6915110_500K_merged_Abundance","SRR6915111_500K_merged_Abundance","SRR6915112_500K_merged_Abundance","SRR6915114_500K_merged_Abundance","SRR6915117_500K_merged_Abundance","SRR6915125_500K_merged_Abundance","SRR6915126_500K_merged_Abundance","SRR6915127_500K_merged_Abundance","SRR6915128_500K_merged_Abundance","SRR6915129_500K_merged_Abundance","SRR6915130_500K_merged_Abundance","SRR6915131_500K_merged_Abundance","SRR6915132_500K_merged_Abundance","SRR6915133_500K_merged_Abundance","SRR6915134_500K_merged_Abundance","SRR6915135_500K_merged_Abundance","SRR6915136_500K_merged_Abundance","SRR6915147_500K_merged_Abundance","SRR6915149_500K_merged_Abundance","SRR6915150_500K_merged_Abundance","SRR6915151_500K_merged_Abundance","SRR6915152_500K_merged_Abundance","SRR6915153_500K_merged_Abundance","SRR6915155_500K_merged_Abundance","SRR6915156_500K_merged_Abundance","SRR6915167_500K_merged_Abundance","SRR6915168_500K_merged_Abundance","SRR6915169_500K_merged_Abundance","SRR6915170_500K_merged_Abundance","SRR6915171_500K_merged_Abundance","SRR6915172_500K_merged_Abundance","SRR6915173_500K_merged_Abundance","SRR6915174_500K_merged_Abundance","SRR6915175_500K_merged_Abundance","SRR6915176_500K_merged_Abundance","SRR6915177_500K_merged_Abundance","SRR6915178_500K_merged_Abundance","SRR6915179_500K_merged_Abundance","SRR6915180_500K_merged_Abundance","SRR6915181_500K_merged_Abundance","SRR6915182_500K_merged_Abundance","SRR6915183_500K_merged_Abundance","SRR6915184_500K_merged_Abundance","SRR6915185_500K_merged_Abundance","SRR6915186_500K_merged_Abundance","SRR6915195_500K_merged_Abundance","SRR6915196_500K_merged_Abundance","SRR6915197_500K_merged_Abundance","SRR6915198_500K_merged_Abundance","SRR6915199_500K_merged_Abundance","SRR6915200_500K_merged_Abundance"
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0,0,0,0.000191164,0,0,6.98256e-05,0,0,0,5.67627e-05,0,0.0001932,0,0,0,0,0,0,0,0,0,0,0,6.84323e-05,0,0,0,0,7.67684e-05,8.80094e-05,0,0,6.21454e-05,0,0,0,0,0,6.51607e-05,0,0,0,0,8.83892e-05,8.62389e-05,0,5.02712e-05,0,0.000111282,0,0,0,0,6.12027e-05,0,0,0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",4.87091e-05,0.000119758,0,0.000137342,0.000112717,0.000141173,5.40458e-05,0.000168844,0.000219379,7.88814e-05,0.000147804,5.7618e-05,8.42424e-05,0.000170246,8.68962e-05,0,5.26892e-05,5.67077e-05,0.000137393,4.76173e-05,3.97685e-05,6.73686e-05,9.32392e-05,0,5.43563e-05,9.21981e-05,0.000102946,7.45336e-05,0,8.70563e-05,0.000180791,0,0.000164662,6.63001e-05,6.55925e-05,0.000103235,0.000140955,0.000196261,9.89061e-05,9.93006e-05,0.000171212,2.60388e-05,0,0.000165016,4.30743e-05,0.000198938,7.3359e-05,0.000153107,7.41889e-05,0.000179057,0,0.000112463,0.000143596,0.000109109,6.61309e-05,4.52647e-05,0.00014549,8.48255e-05
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000353427,0.000345345,0.000401585,0.000283558,0.000397803,0.000376861,0.000403181,0.000327441,0.000286702,0.000380185,0.000321866,0.00044539,0.000261451,0.000198103,0.000430595,0.00016857,0.000393417,0.000181054,0.000376349,0.000284885,0.000333242,0.000245877,0.000365316,0.000318145,0.000385204,0.00032195,0.00038149,0.000227869,0.000408438,0.000327898,0.000425977,0.000459902,0.000291906,0.000202092,0.000352545,0.00047914,0.000407398,0.000330012,0.000440986,0.000487861,0.000209972,0.000339814,0.000311535,0.000364762,0.000353611,0.000261168,0.000263689,0.000171713,0.00036152,0.000287941,0.000439557,0.000251466,0.000358061,0.00055182,0.000283837,0.000338356,0.00032027,0.000338878
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000356922,0.000361158,0.000409469,0.000294896,0.000391269,0.000376524,0.00039761,0.000333651,0.000273649,0.00038434,0.000324697,0.000426425,0.000255415,0.000183037,0.000407843,8.69258e-05,0.000376834,0.000193356,0.000387602,0.0002969,0.000281645,0.000228312,0.000374681,0.000328703,0.000381466,0.000327423,0.000402802,0.000216807,0.000453657,0.000340529,0.000398826,0.000469014,0.000296509,0.000213216,0.000357127,0.000470633,0.000404899,0.000308621,0.000433251,0.000512904,0.000199259,0.000307725,0.000320996,0.000383554,0.000363953,0.000280071,0.000238141,0.000137272,0.000388073,0.000284279,0.000446597,0.00024888,0.000376798,0.000541098,0.000296089,0.000332896,0.000335296,0.000367821
"ARO-PWY: chorismate biosynthesis I",0.000303075,0.000306015,0.000355503,0.000296408,0.000371088,0.000389036,0.000366084,0.000273066,0.000448662,0.000337699,0.000309486,0.000400324,0.000282805,0.000256781,0.000315798,0.00041192,0.000313722,0.000223115,0.000349985,0.000321883,0.000312109,0.000263084,0.00036248,0.000334719,0.000277835,0.000215186,0.000409142,0.000192054,0.000426516,0.000259855,0.000353911,0.000364055,0.000298628,0.00021614,0.000318589,0.000435629,0.000356683,0.000411554,0.000409099,0.000395004,0.000295506,0.000339979,0.000368375,0.000343211,0.000306465,0.000311447,0.000329235,0.000259784,0.000361599,0.00037027,0.000378518,0.000307304,0.000326551,0.000507335,0.000274586,0.000368248,0.000355073,0.000323388
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",0.000136922,0.00021166,0.000103992,0.000285273,0.00015067,3.97762e-05,0.000100238,0.000207657,0.000366925,0.000139413,0.000173302,0.000144004,0.000223563,0.000170128,9.31661e-05,0.000135078,0.000132939,0.000105729,0.000133382,0.000130134,0.000104138,0.000228966,9.21005e-05,8.95057e-05,0.000221537,9.61334e-05,6.74095e-05,7.91442e-05,5.49006e-05,0.000121475,0.000114143,3.78597e-05,0.000226873,8.96609e-05,0.000160426,0.000160785,0.000203169,0.000132961,0.000118067,0.000210707,0.000163317,0.00027045,4.98001e-05,0.000195233,0.000152084,0.000238325,7.9954e-05,0.0001496,0.000112212,9.12271e-05,6.02256e-05,0.000212798,0.000158154,9.96e-05,0.000141538,9.00919e-05,6.05175e-05,0.00018606
"AST-PWY: L-arginine degradation II (AST pathway)",0,0,0,3.88142e-05,0,0,0,0,0,0,0,0,2.38497e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",0,9.50063e-05,0,0.000139688,0,0,5.60321e-05,0,7.09074e-05,0,5.91421e-05,0,0.00014891,4.17538e-05,7.25053e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91143e-05,0,0,0,0,7.88355e-05,0,0,0,0,0,0,5.31838e-05,0,0,0,0,7.85182e-05,0,0,0,0,0,0,0,0
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",0.000446713,0.000422711,0.000302531,0.000461538,0.000463889,0.000423877,0.000467127,0.000444693,0.000377068,0.000400412,0.000319352,0.000325074,0.000336043,0.000364143,0.000302879,0.000511367,0.000379214,0.000227184,0.000440633,0.000283592,0.000297918,0.000476307,0.00030864,0.000372363,0.000376046,0.000313215,0.000551765,0.000266763,0.000439857,0.000309688,0.000472419,0.000471914,0.000315371,0.000206752,0.000451105,0.000363298,0.000381889,0.000429997,0.000497446,0.000385093,0.000362402,0.000521246,0.000329901,0.000468744,0.000385217,0.000357862,0.000242646,0.000330685,0.000392745,0.00033571,0.000483201,0.000424555,0.000274373,0.000355209,0.00038966,0.000451333,0.000344509,0.000443138
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.000243344,0.000367393,0.000261206,0.000327289,0.000425237,0.00037184,0.000236158,0.000308784,0.000330204,0.000431376,0.000259762,0.000366594,0.000318054,0.000218279,0.0002098,0.000328384,0.000255675,0.000277413,0.000339507,0.000283256,0.000233643,0.000290881,0.00031297,0.000343848,0.000445555,0.00032242,0.000337638,0.000209138,0.000397521,0.000224286,0.000391012,0.000396368,0.000330387,0.00021218,0.000309613,0.000443564,0.000411836,0.000236611,0.000298325,0.000392394,0.00028728,0.000349027,0.000303984,0.000376533,0.000294686,0.00027743,0.000401997,0.000247274,0.000355678,0.000384621,0.000389922,0.000321027,0.000353579,0.000477465,0.000344866,0.000431476,0.000221978,0.000323141
"CARNMET-PWY: L-carnitine degradation I",0,0,0,2.08805e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENTFERM-PWY: pyruvate fermentation to butanoate",2.61927e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83818e-05,0,0,0,0,2.67953e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72054e-05
"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CITRULBIO-PWY: L-citrulline biosynthesis",4.19934e-05,0.000122859,0,0.000171938,0,0.000127357,0.000209902,8.21365e-05,0.000291426,8.22616e-05,0.000117406,0.000143157,0.000131997,0.000164078,0.000138257,0,0,0,6.02703e-05,4.4596e-05,7.87504e-05,0,5.04278e-05,0,6.58569e-05,0.000126825,0.000195238,0.000100995,0,0.000164381,0.000120615,0,8.61866e-05,0.000188983,0.000117142,0.000113991,0.000177315,0.000169194,0.000121533,0.000168363,7.52548e-05,3.76363e-05,6.42259e-05,0.000194971,5.65233e-05,0.000215186,0,0.00013705,0,6.47839e-05,7.24366e-05,0.000108347,5.55363e-05,0.000110119,5.23169e-05,0,0.000181255,7.08947e-05
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",0.000278626,0.000243921,0.000140781,0.000188571,0.000217968,0.000306871,0.000269344,0.000229221,0.000335193,0.000260648,0.000259289,0.00032768,0.00015859,0.000252277,0.000155252,0.000329381,0.000250837,0.000148308,0.000309145,0.000262011,0.000181669,0.00015974,0.000178265,0.000204394,0.000211911,0.000162195,0.000306406,0.000151361,0.000298134,0.000281136,0.000320815,0.000306485,0.00025329,0.000193081,0.00030227,0.00037154,0.000342084,0.000239,0.000277722,0.000223198,0.000278195,0.000210544,0.000220386,0.000298955,0.000250995,0.000238126,0.000287558,0.000152609,0.000290564,0.00027875,0.000276042,0.000209256,0.000225361,0.000348813,0.00016805,0.000256955,0.000273755,0.000171456
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)",0.000265666,0.000235918,0.00012023,0.000174585,0.000207086,0.00028769,0.000249998,0.000225403,0.000318227,0.00026937,0.000258129,0.00029366,0.00015515,0.000245129,0.00013419,0.000346686,0.00022771,0.000130881,0.00029687,0.000268373,0.000155572,0.000152203,0.000163276,0.000215976,0.000193038,0.000143254,0.000387589,0.000132,0.000292763,0.000271108,0.000316299,0.000271127,0.000251193,0.000201584,0.000311097,0.00035482,0.000346886,0.000236787,0.000256926,0.000189989,0.000281706,0.000201753,0.000203633,0.000322652,0.000231196,0.000240706,0.000277393,0.000156168,0.000276968,0.000288519,0.000263656,0.000216762,0.000201743,0.000319345,0.000177097,0.00026667,0.000249931,0.000171966
"COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I",3.07517e-05,0.000171842,6.96524e-05,8.52843e-05,6.16917e-05,0.000120838,0.00013407,0.00012885,9.77726e-05,3.45008e-05,8.97468e-05,0.000149932,0.000126076,5.41816e-05,3.34551e-05,0,0.000118319,5.83951e-05,4.85168e-05,0,4.81308e-05,3.7329e-05,4.38518e-05,7.36077e-05,6.05657e-05,3.08746e-05,7.77399e-05,3.64436e-05,7.6099e-05,5.3925e-05,0.000154618,2.67559e-05,9.4895e-05,2.75011e-05,5.28961e-05,0.000223023,8.62432e-05,6.96004e-05,0.000114815,6.82746e-05,0,2.64631e-05,6.91134e-05,0.000112227,6.37214e-05,4.9823e-05,0,7.44492e-05,0,0.000133796,0.000166819,9.9018e-05,7.40924e-05,0.000169566,0,3.6398e-05,8.14824e-05,4.51182e-05
"COLANSYN-PWY: colanic acid building blocks biosynthesis",7.02277e-05,0.000174141,5.50939e-05,0.000179864,5.13244e-05,8.23711e-05,7.14273e-05,0.000118024,0.000143704,9.89553e-05,0.00010987,0.000124421,0.000169184,0.000117939,0,6.16193e-05,8.20273e-05,9.65015e-05,0.000127181,7.72318e-05,9.08402e-05,0.000123764,8.75336e-05,0.000159854,6.88508e-05,9.74473e-05,0.000112879,5.33913e-05,5.94015e-05,5.64926e-05,0.000163524,0,0.000173754,9.00948e-05,4.24117e-05,0.0001692,0.000147802,8.6882e-05,9.76254e-05,0.000119168,0.000106634,6.98055e-05,0,0.000134157,9.24075e-05,0.000136348,0.000134357,0.000133979,6.60571e-05,7.91329e-05,7.66387e-05,3.78943e-05,7.36546e-05,8.12789e-05,7.23243e-05,9.39181e-05,5.75529e-05,5.14134e-05
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.000293125,0.000256978,0.000331598,0.000291911,0.000350699,0.000356298,0.000299945,0.000277157,0.000435279,0.000306621,0.000309766,0.000383453,0.000275878,0.00025436,0.000301809,0.000389523,0.000298188,0.000195028,0.000345266,0.000269395,0.00025331,0.000245533,0.000341978,0.000337465,0.000273335,0.000215112,0.000386177,0.000172338,0.00037764,0.000259178,0.000349101,0.000323422,0.000264656,0.000204823,0.000285247,0.000395627,0.000337116,0.000382687,0.000367347,0.000367705,0.000244685,0.000332465,0.000366155,0.000339093,0.000279073,0.000294062,0.000279051,0.000199746,0.000350402,0.000343124,0.00035631,0.000301349,0.000305554,0.000481048,0.000231372,0.000362211,0.000337403,0.000322263
"CRNFORCAT-PWY: creatinine degradation I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAPLYSINESYN-PWY: L-lysine biosynthesis I",0.000109256,7.24666e-05,7.43988e-05,0.000201374,6.74401e-05,0,0.000133528,0,0.000151396,0.000119331,0,0,0.000141772,8.20777e-05,0.000133789,0.00032129,5.87242e-05,0,0.000105453,0,0.000143357,0.000113992,6.54371e-05,0,0,0,0.000144127,5.91894e-05,0,0,6.08289e-05,6.35262e-05,0,7.71593e-05,0.000162925,0,0,0.000253419,6.81422e-05,0.000150185,8.08028e-05,5.50798e-05,0,6.48352e-05,0.000118594,7.81083e-05,0,8.94617e-05,0,6.22509e-05,0,0,5.86034e-05,9.81954e-05,0,0.000154672,0.000109645,0
"DARABCATK12-PWY: D-arabinose degradation I",0,0,0,1.70146e-05,0,0,0,0,0,0,0,0,5.96174e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DENITRIFICATION-PWY: nitrate reduction I (denitrification)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II",0,0,0,7.16905e-05,0,0,0,0,0,0,0,0,0.00010029,0,0,0,0,0,0,0,0,7.39588e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",0.000705864,0.000442146,0.0002705,0.000304323,0.000372736,0.000491688,0.000445705,0.000385381,0.000851404,0.000515186,0.000456556,0.000365454,0.000402624,0.000338252,0.000362812,0.000727079,0.000349274,0.000282202,0.000394587,0.000206002,0.000388695,0.000454169,0.000300441,0.000430331,0.000408704,0.000305791,0.000478357,0.000296119,0.000478357,0.000294182,0.000409453,0.000352157,0.000380714,0.000351907,0.000415955,0.00059622,0.000492672,0.000432557,0.000435092,0.000333999,0.000326295,0.000688659,0.000378406,0.000318173,0.000325224,0.000385526,0.000393079,0.000349263,0.000360169,0.000314834,0.000456204,0.000532647,0.00035985,0.000439312,0.000490518,0.000282351,0.000326204,0.000685817
"ECASYN-PWY: enterobacterial common antigen biosynthesis",0,0,0,2.12858e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAO-PWY: fatty acid &beta;-oxidation I (generic)",0,0,0,0.000166392,0,0,0,0,0,0,0,0,6.58065e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2823e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",0,9.35946e-05,0,0.00023372,0,0,0.000149508,0,6.95883e-05,0,5.85637e-05,0,0.000243133,4.39577e-05,8.49312e-05,0,0,3.2899e-05,0,5.03468e-05,9.04288e-05,0,0,0,0,0,0,0,0,0,0,0,5.05947e-05,0,0,0,0,8.41688e-05,0,8.42837e-05,0,0,4.93699e-05,0,0.000120858,0,0,0,0,7.06148e-05,0,0,0,0,0,0,0,0
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",0,0,0,0,0,0,0,0,5.18192e-05,0,0,0,0,0,5.39757e-05,0,0,0,0,0,5.20151e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FERMENTATION-PWY: mixed acid fermentation",0.000128459,9.54975e-05,4.51835e-05,0.000197627,0.000146123,0.000231411,3.41877e-05,0,0,2.53015e-05,0,9.64249e-05,0.000142644,7.10819e-05,0,0.000164464,0,5.01284e-05,7.4332e-05,5.6542e-05,0,0,0.000186883,6.21075e-05,0,4.93141e-05,0,0,0.000295263,0,0,0.000112309,0,0,0,0,9.61039e-05,8.65253e-05,9.09882e-05,6.08399e-05,9.36728e-05,0.000134871,0.000190181,0.000176253,8.9208e-05,0,0.000100652,0,7.54143e-05,0.000165509,0,0,0,0.000101866,6.00631e-05,0.000209333,0.000149207,0.00010924
"FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage",0,0,0,0.000100555,0,0,0,0,0,0,0,0,9.58654e-05,8.70532e-05,0,0,0,0,0,0,0,0,0,7.70453e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation",0,4.41863e-05,0,0.000132634,0,0,0,0,0,0,0,0,0.000109626,0,0,0,0,0,0,0,0,0,0,0,4.24143e-05,0,0,0,0,5.78236e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99796e-05,5.50834e-05,0,0,0,0,0,0,0,0,0,0,0,5.59626e-05
