"","SRR6915091_500K_merged_Abundance","SRR6915092_500K_merged_Abundance","SRR6915093_500K_merged_Abundance","SRR6915094_500K_merged_Abundance","SRR6915095_500K_merged_Abundance","SRR6915096_500K_merged_Abundance","SRR6915097_500K_merged_Abundance","SRR6915098_500K_merged_Abundance","SRR6915099_500K_merged_Abundance","SRR6915100_500K_merged_Abundance","SRR6915101_500K_merged_Abundance","SRR6915102_500K_merged_Abundance","SRR6915113_500K_merged_Abundance","SRR6915115_500K_merged_Abundance","SRR6915116_500K_merged_Abundance","SRR6915118_500K_merged_Abundance","SRR6915119_500K_merged_Abundance","SRR6915120_500K_merged_Abundance","SRR6915121_500K_merged_Abundance","SRR6915122_500K_merged_Abundance","SRR6915123_500K_merged_Abundance","SRR6915124_500K_merged_Abundance","SRR6915137_500K_merged_Abundance","SRR6915138_500K_merged_Abundance","SRR6915139_500K_merged_Abundance","SRR6915140_500K_merged_Abundance","SRR6915141_500K_merged_Abundance","SRR6915142_500K_merged_Abundance","SRR6915143_500K_merged_Abundance","SRR6915144_500K_merged_Abundance","SRR6915145_500K_merged_Abundance","SRR6915146_500K_merged_Abundance","SRR6915157_500K_merged_Abundance","SRR6915158_500K_merged_Abundance","SRR6915159_500K_merged_Abundance","SRR6915160_500K_merged_Abundance","SRR6915161_500K_merged_Abundance","SRR6915162_500K_merged_Abundance","SRR6915163_500K_merged_Abundance","SRR6915164_500K_merged_Abundance","SRR6915165_500K_merged_Abundance","SRR6915166_500K_merged_Abundance","SRR6915188_500K_merged_Abundance","SRR6915189_500K_merged_Abundance","SRR6915190_500K_merged_Abundance","SRR6915191_500K_merged_Abundance","SRR6915192_500K_merged_Abundance","SRR6915193_500K_merged_Abundance","SRR6915194_500K_merged_Abundance","SRR6915201_500K_merged_Abundance","SRR6915202_500K_merged_Abundance","SRR6915203_500K_merged_Abundance","SRR6915204_500K_merged_Abundance","SRR6915205_500K_merged_Abundance","SRR6915206_500K_merged_Abundance","SRR6915207_500K_merged_Abundance","SRR6915208_500K_merged_Abundance","SRR6915209_500K_merged_Abundance","SRR6915210_500K_merged_Abundance","SRR6915211_500K_merged_Abundance","SRR6915212_500K_merged_Abundance","SRR6915213_500K_merged_Abundance","SRR6915214_500K_merged_Abundance","SRR6915215_500K_merged_Abundance","SRR6915216_500K_merged_Abundance","SRR6915217_500K_merged_Abundance","SRR6915218_500K_merged_Abundance","SRR6915219_500K_merged_Abundance","SRR6915220_500K_merged_Abundance","SRR6915221_500K_merged_Abundance","SRR6915222_500K_merged_Abundance","SRR6915223_500K_merged_Abundance","SRR6915224_500K_merged_Abundance","SRR6915225_500K_merged_Abundance","SRR6915226_500K_merged_Abundance","SRR6915227_500K_merged_Abundance","SRR6915228_500K_merged_Abundance","SRR6915229_500K_merged_Abundance","SRR6915230_500K_merged_Abundance"
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000159902,0,0,0.00019296,0.000284064,0.00035511,0,0.000407165,0.000146743,0,0,0.000139881,4.68902e-05,0,0,0,0,8.13052e-05,0,0,6.94769e-05,6.21566e-05,0.000110469,0,0,0,0.000211979,0,0,0,0,0.000148031,0.00019546,0,9.54776e-05,0.000167577,0,0,0,0.000129571,0,0,0,0,0,0,5.41108e-05,0,7.8326e-05,8.97829e-05,0,0.000102035,6.91602e-05,0,0,0,0,7.6595e-05,0,4.18923e-05,0,0.000162381,0,0,0,0,0,0.00023598,6.71628e-05,0.000131089,8.67926e-05,0,0,0.0001592,0,5.41499e-05,0,0,0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0,0,0,0,0.000113924,7.94245e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48905e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37941e-05,0,0,0,0,0,6.85025e-05,0,0,0,0,0,0,0,0,0,0,0
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000206388,8.30926e-05,0.000140496,0.000323802,0.000218137,9.13454e-05,0.000178305,0,0.000106182,0.000191821,0.000175526,0.000129402,0.000152937,0.000135533,6.69478e-05,0.000169814,0.000132688,0.000296528,0,0.000256507,0.000112058,0.000100931,6.22348e-05,0.000149086,0.000240421,0.000175232,0.000351336,0.000219558,0.000364199,0.000112146,0.000104137,0.000349707,0.00031111,0.000234103,0.000111013,0.000145842,0,6.2029e-05,0.000264869,0.00026073,9.22609e-05,0.000162624,0.000154922,0.000103792,0.000198678,8.21117e-05,0.000143043,9.8534e-05,0.000272256,9.24553e-05,0.000273102,0.000149362,0.000137639,0.000328166,8.34715e-05,0.000210129,0.000466456,0.00012391,0.000200282,0.000134388,0,0.000223313,0.000155121,0.000121509,0.000337431,5.53791e-05,7.53896e-05,9.49985e-05,0.000113069,0.000233064,0.000246598,0.000133111,7.78405e-05,0.000105814,0.000427594,0.000103212,0,0.00024733,2.66979e-05
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000279668,0.000177828,5.90289e-05,0.000249801,0.000288765,0.000386974,0.000361794,0.000401052,0.000331183,0.000229974,0.000135941,0.000224467,0.000369855,0.000140458,0.000248256,0.000129446,0.000540738,0.000147212,0.000407167,0.000149352,0.000303241,0.000123899,0.000320466,0.000128937,0.000293945,0.000248559,0.000264207,0.000187092,0.000355735,0.000273638,5.4245e-05,0.000254505,0.000244082,9.54096e-05,0.000243485,0.000210453,0,0.0004096,0.000117999,0.000306607,0,0.000135088,0.000206852,0.000440934,0.00025581,0.000162343,0.000341649,0.000461954,9.77571e-05,0.000114644,0.000113815,0.000206077,0.000223993,0.000108221,0.000304551,0.000203736,0,0.000178563,0.000166293,0.000120082,0.000493628,0.000367337,0.000270997,0.000246546,0.000133292,0.000449404,0.000211996,0.000309561,0.000211246,0.000479425,0.000279863,0.000213158,0.000162949,0.000399192,0.000138958,0.000442365,0.000163884,0.000309254,0.000638112
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000213447,0.00022168,0.000105352,0.000214821,0.000275176,0.000374822,0.000407528,0.000391504,0.000317879,0.000205646,0.000114044,0.000217029,0.000384324,5.08558e-05,0.000263556,0.000142784,0.000192183,0.000153131,0.000374022,0.000147577,0.000344357,0.000108984,0.000287417,7.98429e-05,0.000232009,0.000195134,0.000276639,0.000173437,0.000328672,0.000206553,4.79694e-05,0.00025216,0.000255793,9.65618e-05,0.000201535,0.000214053,3.49303e-05,0.000412889,7.34323e-05,0.000313338,0,0.000147875,0.000224559,0.000438624,0.000261788,0.000129224,0.000343857,0.00046669,8.48594e-05,0.000129412,4.98189e-05,0.000206483,0.00023516,9.24942e-05,0.000315139,0.000224335,0,0.000188484,0.000183996,0.000118483,0.000463817,0.000346412,0.000274174,0.000443875,0.000119572,0.000416814,0.000186956,0.000325557,0.000200322,0.000469566,0.000266693,0.000224514,0.000142734,0.00040025,0.000135105,0.000433576,0.000152699,0.000244226,0.000721302
"ARO-PWY: chorismate biosynthesis I",0.000314653,0.000205699,0.000199128,0.000304882,0.000307583,0.000454802,0.000404163,0.000428469,0.000313908,0.000320276,0.00031119,0.000243265,0.000354605,0.000295463,0.000297549,0.00032416,0.000504505,0.000208218,0.000409574,0.000368293,0.0002804,0.000175169,0.00030651,0.000289694,0.000387398,0.000329907,0.000248226,0.000261336,0.000335743,0.000264163,0.000230675,0.000231567,0.000253807,0.000212115,0.00025481,0.000216909,0.000444935,0.000524523,0.000255443,0.000353337,0.000379918,0.000135667,0.000283601,0.00038197,0.000287938,0.000263544,0.000398585,0.000459455,0.000267773,0.000469542,0.000317372,0.000219495,0.000217724,0.000263556,0.000303412,0.000302693,0.000441308,0.000198862,0.000253801,0.000188138,0.000500018,0.000321682,0.00033937,0.000479112,0.000216671,0.000471873,0.000249028,0.000284043,0.000296857,0.000377991,0.000275589,0.000227162,0.000202681,0.000323655,0.000190903,0.000406125,0.00028084,0.000320561,0.000597237
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",0.000270666,4.32579e-05,0.00020643,0.000311791,0.000489392,0.00038342,0.000128897,0.000508546,0.00022794,0.000215201,0.000195516,0.000288842,0.000157419,0.000164661,0.000126868,0.000332604,7.50786e-05,0.000225902,0.00014834,0.000272145,0.00017999,0.000192099,6.73431e-05,0.00010388,0.000106185,0.000277717,0.000311155,0.00023334,0.000192513,0.000136944,0.000362211,0.000341276,0.000322125,0.000231073,0.000130432,0.00030245,0.00051785,0.000115182,0.000437959,0.000197403,0.000503401,0.000153601,0.000171666,9.44001e-05,0.000252252,0.00046694,0.000128722,0.000128763,0.000283791,0.00019831,0.000216341,0.000173567,0.000179574,0.000222052,8.60113e-05,0.000103176,0.000398135,0.000167654,0.000148727,0.000117879,0.000156227,0.000259449,0.000205225,5.35864e-05,0.000222328,8.39124e-05,0.000150453,0.000404298,0.000184377,0.000247441,0.000255905,0.000130693,0.000252098,0.000300456,0.000344715,0.000162724,0.000185125,0.000193051,0.000146835
"AST-PWY: L-arginine degradation II (AST pathway)",5.00645e-05,0,0,5.55574e-05,0.000173367,0.00031741,0,0.000286385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19461e-05,0,0,0,0,1.95411e-05,5.00336e-05,0,0,4.35931e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9769e-05,0,0,0,0,0,0,0,1.95517e-05,0,0,0,2.27034e-05,0,0,0,0,0,6.77481e-05,0,0,0,0,0,6.92291e-05,0,0,0,0,0
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",0.000212,0,6.25041e-05,0.000204399,0.000304137,0.000332095,0,0.000342189,8.8111e-05,0.000125129,0.000142398,0.00018237,0.000104941,8.80154e-05,0,0,0.000116378,0.000117587,8.2774e-05,0.000110902,7.03551e-05,4.70311e-05,0,0.000109936,7.31131e-05,0.000206192,0.000247919,0.000122251,6.82507e-05,0,0,0.00023846,0.00020163,0.000108874,0,0.000195913,0,0,0.000149923,0.000123921,0,0,4.63151e-05,4.244e-05,7.67526e-05,5.30485e-05,0,4.88779e-05,0.000128365,0.00021646,0.000163582,0.000119403,0.000118499,0.000120905,5.51954e-05,0,0.000187423,8.0047e-05,0,5.39267e-05,0,0.000111803,0,9.10821e-05,0,0,4.86669e-05,0.000366508,0,0.000127287,9.3343e-05,0,7.63447e-05,0.00026709,0,7.23384e-05,0,0.000109971,0
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",0.000384752,0.00023933,0.000383801,0.000488075,0.000370735,0.000451111,0.000326566,0.000543353,0.000323189,0.00031421,0.000361458,0.000353852,0.000207788,0.000260761,0.000224127,0.000509487,0.000120322,0.000300348,0.000293844,0.000384667,0.000340544,0.000304977,0.00038605,0.000358645,0.00042222,0.000341323,0.000420152,0.00037536,0.000537305,0.000285117,0.0007005,0.000264227,0.00034492,0.000212216,0.000269794,0.000303608,0.0013541,0.000190608,0.000346536,0.000410025,0.000879196,0.000178303,0.000239335,0.000298433,0.000358952,0.000749317,0.000314765,0.000296839,0.000450919,0.000262076,0.000377109,0.000294261,0.000322296,0.000381198,0.000294991,0.000301064,0.000584006,0.000208905,0.000346077,0.000213848,0.000303125,0.000415916,0.000326102,0.000363878,0.000526318,0.000204591,0.000338574,0.000419984,0.000250914,0.000442449,0.000314631,0.000350982,0.000381971,0.000420571,0.000480165,0.000306972,0.000348644,0.000257087,0.000464193
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.00038516,0.000152884,0.000213679,0.000316858,0.000345685,0.000646054,0.000182602,0.000635075,0.000259494,0.000327849,0.000190268,0.00029356,0.000276673,0.000178442,0.000218636,0.000281682,7.73109e-05,0.000278722,0.000202372,0,0.000250058,0.000225056,0.000144959,0.000299722,0,0,0.000351721,0.000313311,0.000217769,0,0.000395987,0.000339245,0.000383164,0.000144368,0.000169234,0.000248484,0.000339379,0,0.000255006,0.000383047,0.000473488,0.000133287,0.00022047,0.000302893,0,0.000341332,0.000289512,0.000310204,0.000210763,0.00042824,0,0.000316487,0.000210666,9.17906e-05,0.000210558,0.000215287,0.000239152,0.000319926,0.000181956,8.14205e-05,0,0.000341947,0.000177124,0.000234032,0.000385206,0.000315651,0.000164328,0.00037119,6.70574e-05,0.000341879,0.000220756,0.000204878,0.000269771,0.000408952,0.000304665,0.000239568,0.000324621,0.000282792,0.000552347
"CARNMET-PWY: L-carnitine degradation I",0,0,0,5.85159e-06,5.44754e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68993e-05,0,0,0,0,0,1.92051e-05,0,0,1.04062e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66941e-06,0,1.67371e-05,0,0,0,6.43295e-05,0,0,0,0,0
"CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate",3.18246e-05,0,0,0,0,0.000186049,0,0.000179516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42748e-05,0,3.26661e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENTFERM-PWY: pyruvate fermentation to butanoate",0,0,0,0,0,0,0,0,9.72661e-05,0,0,0,9.4886e-05,0,0,3.82233e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23841e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.42945e-05,0,3.66172e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65586e-05,0,0,0,0,0,0,0,0,2.88568e-05,4.45665e-05,3.79072e-05,0,9.76391e-05,0.000108973,5.20072e-05,0,4.79766e-05,0
"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CITRULBIO-PWY: L-citrulline biosynthesis",0.000331899,0,0.000145741,0.000307168,0.00024172,0.000122366,0.000173901,0,0.000195384,0.000243131,0.000113188,0.000178,0.000220302,0.000148244,0,7.89806e-05,0.000653059,0.000117351,0,0.00021154,0.000274673,9.01421e-05,0.000297363,0.000170322,0.000215797,0.000308751,0.000343629,0.000135374,0.000389285,6.03621e-05,0,0.000280394,0.000301311,0.000137055,0.00012287,0.000139728,0,0.000235851,0.000190681,7.70711e-05,0,0.000145033,0.000111538,0.000257848,0.000168682,0,0.000275292,0.000138323,0.00014112,9.5723e-05,0.000159014,0.000175747,0.000100774,0.000118487,0.000101593,0.000135638,0,0.000160624,9.91228e-05,9.89414e-05,0,0.000266076,0.000189312,0.0001728,0.000165049,0,0.000140198,0.000122419,0.000152337,0.00029892,0.000359036,8.049e-05,0.00012739,0.000143925,0.000117549,6.75763e-05,0,0.000209333,3.99504e-05
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",0.000212393,7.71804e-05,0.000325402,0.000219908,0.000202013,0.000258731,0.000370161,0.00033124,0.000216836,0.000259243,0.000342664,0.000208212,0.000288565,0.000343696,0.000149939,0.000174945,0.00047023,0.000191455,0.000343015,0.00038517,0.000186428,0.000224776,0.000252622,0.000377073,0.000304715,0.000449366,0.00022605,0.000236473,0.000309325,0.000344055,0.000140758,0.000287789,0.000152519,0.00011448,0.00022383,0.000175198,0,0.000457487,0.000246718,0.000286169,0.000117455,0.000195946,0.00021785,0.000340313,0.000330378,3.40604e-05,0.000295236,0.000376793,0.000172988,0.00042209,0.000202089,0.000144565,0.000291241,0.000267166,0.000289184,0.000344289,0.000341853,0.00015485,0.000256599,0.000124279,0.000301952,0.000221752,0.000321617,9.7411e-05,0.000203365,0.000597997,0.000223322,0.000214306,0.000343031,0.00026991,0.000238744,0.000237552,0.0002553,0.000242346,0.000344877,0.000249317,0.000175115,0.000192113,0.000537418
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)",0.000228409,0.000139931,0.000335599,0.000192918,0.000185196,0.000240377,0.0003551,0.000326383,0.000248442,0.000322183,0.000416303,0.000191961,0.00026335,0.000368526,0.000129593,0.000219348,0.000480604,0.00017205,0.000342344,0.00042635,0.000200913,0.000242825,0.000266394,0.000399738,0.000286371,0.000456731,0.000249119,0.000222598,0.000333804,0.000328915,0.000122295,0.000278552,0.000225942,0.000119026,0.000204349,0.000165685,0.000418618,0.000435253,0.000293758,0.000269464,0.000214141,0.000226049,0.000215073,0.000347185,0.000467284,2.8611e-05,0.000324873,0.000347116,0.000280518,0.000464359,0.000284172,0.000130611,0.000311788,0.000246018,0.000285069,0.000371358,0.000510401,0.000142618,0.000260987,0.000168817,0.00027659,0.000199649,0.000350066,0.00029141,0.000284419,0.000555245,0.000206989,0.000194524,0.000350649,0.000248216,0.000220487,0.000216657,0.000279789,0.000232711,0.000468287,0.000349934,0.000173336,0.000230629,0.000484982
"COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I",0,0,3.45065e-05,0.000151821,0.000220308,0.000192766,0.000175943,0.000219302,8.45974e-05,7.66076e-05,7.63265e-05,3.83781e-05,0.000216071,0.000155996,0,0,5.88663e-05,0,7.03678e-05,0,0,0,0,6.78187e-05,5.73591e-05,0.000136991,3.59587e-05,2.44842e-05,0.0001072,3.99785e-05,0,7.09638e-05,0.000118748,4.09251e-05,9.1546e-05,0.000101244,0,0.000185328,4.18968e-05,8.72694e-05,0,4.10583e-05,3.23703e-05,8.0754e-05,0.000125797,0,3.25025e-05,0.000163381,5.31957e-05,2.20616e-05,6.97084e-05,9.23099e-05,5.99754e-05,9.1679e-05,3.34296e-05,2.32708e-05,4.31563e-05,5.13987e-05,3.58226e-05,3.89174e-05,0.000129434,8.02544e-05,3.0184e-05,0,0.00010064,0,3.06193e-05,0.000172091,5.66362e-05,7.35645e-05,8.58935e-05,0,9.22298e-05,0.000134601,0.000188994,0.000151564,5.07755e-05,7.46435e-05,0.000292854
