"","SRR6915091_merged_Abundance","SRR6915092_merged_Abundance","SRR6915093_merged_Abundance","SRR6915094_merged_Abundance","SRR6915095_merged_Abundance","SRR6915096_merged_Abundance","SRR6915097_merged_Abundance","SRR6915098_merged_Abundance","SRR6915099_merged_Abundance","SRR6915100_merged_Abundance","SRR6915101_merged_Abundance","SRR6915102_merged_Abundance","SRR6915113_merged_Abundance","SRR6915115_merged_Abundance","SRR6915116_merged_Abundance","SRR6915118_merged_Abundance","SRR6915119_merged_Abundance","SRR6915120_merged_Abundance","SRR6915121_merged_Abundance","SRR6915122_merged_Abundance","SRR6915123_merged_Abundance","SRR6915124_merged_Abundance","SRR6915137_merged_Abundance","SRR6915138_merged_Abundance","SRR6915139_merged_Abundance","SRR6915140_merged_Abundance","SRR6915141_merged_Abundance","SRR6915142_merged_Abundance","SRR6915143_merged_Abundance","SRR6915144_merged_Abundance","SRR6915145_merged_Abundance","SRR6915146_merged_Abundance","SRR6915157_merged_Abundance","SRR6915158_merged_Abundance","SRR6915159_merged_Abundance","SRR6915160_merged_Abundance","SRR6915161_merged_Abundance","SRR6915162_merged_Abundance","SRR6915163_merged_Abundance","SRR6915164_merged_Abundance","SRR6915165_merged_Abundance","SRR6915166_merged_Abundance","SRR6915188_merged_Abundance","SRR6915189_merged_Abundance","SRR6915190_merged_Abundance","SRR6915191_merged_Abundance","SRR6915192_merged_Abundance","SRR6915193_merged_Abundance","SRR6915194_merged_Abundance","SRR6915201_merged_Abundance","SRR6915202_merged_Abundance","SRR6915203_merged_Abundance","SRR6915204_merged_Abundance","SRR6915205_merged_Abundance","SRR6915206_merged_Abundance","SRR6915207_merged_Abundance","SRR6915208_merged_Abundance","SRR6915209_merged_Abundance","SRR6915210_merged_Abundance","SRR6915211_merged_Abundance","SRR6915212_merged_Abundance","SRR6915213_merged_Abundance","SRR6915214_merged_Abundance","SRR6915215_merged_Abundance","SRR6915216_merged_Abundance","SRR6915217_merged_Abundance","SRR6915218_merged_Abundance","SRR6915219_merged_Abundance","SRR6915220_merged_Abundance","SRR6915221_merged_Abundance","SRR6915222_merged_Abundance","SRR6915223_merged_Abundance","SRR6915224_merged_Abundance","SRR6915225_merged_Abundance","SRR6915226_merged_Abundance","SRR6915227_merged_Abundance","SRR6915228_merged_Abundance","SRR6915229_merged_Abundance","SRR6915230_merged_Abundance"
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.000183723,5.01309e-05,4.35565e-05,0.000200626,0.000329449,0.00038419,1.486e-05,0.000416598,0.000145625,3.12908e-05,3.23658e-05,0.000180276,4.25487e-05,0.000101833,0.000161534,7.84677e-06,2.14311e-05,9.76962e-05,3.42736e-05,2.91529e-06,0.000109536,0.000110226,0.000177791,0,6.8388e-05,3.62264e-05,0.000241474,0.000104187,1.04525e-05,0,8.72711e-05,0.000194772,0.000224004,7.48625e-05,0.000113886,0.000197435,0,5.42205e-05,7.60206e-05,0.000152997,0,5.57415e-05,9.50311e-05,6.36131e-05,2.58205e-05,4.52443e-05,7.60433e-05,8.47361e-05,0.000125979,0.000129705,6.1373e-06,0.000134613,8.53229e-05,5.78273e-05,7.79719e-05,5.20373e-05,5.25357e-05,0.000140551,3.63678e-05,5.6474e-05,3.09709e-05,0.000179913,8.61909e-05,9.64839e-05,3.24196e-05,4.03581e-05,0.00010519,0.000250324,4.65735e-05,0.000232056,8.45042e-05,4.71459e-05,1.4604e-05,0.000185729,2.31102e-05,0.000106285,1.58327e-05,5.4625e-05,7.25126e-05
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",5.21431e-05,0,1.7801e-06,0,0.000134914,2.64156e-05,0,4.31587e-07,0,0,0,7.9944e-07,3.02478e-07,0,0,0,0,0,0,0,1.12969e-05,1.21278e-05,2.72842e-06,0,0,0,1.44476e-05,0,0,0,1.59021e-05,0,8.88294e-07,9.70915e-06,1.34332e-06,4.17175e-05,0,9.34367e-07,2.43011e-06,1.64531e-06,0,0,6.39538e-06,0,0,0,0,3.234e-06,9.08099e-06,2.73529e-05,0,0,3.82801e-06,0,0,0,0,0,0,0,0,1.83108e-05,0,1.15332e-05,0,1.77529e-06,1.15472e-06,9.01054e-05,1.18286e-06,3.12644e-05,6.14387e-06,0,0,0,0,3.36799e-06,1.74208e-06,1.28991e-06,3.77805e-06
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",0.000201684,7.99088e-05,0.000152953,0.000352215,0.000202704,8.87616e-05,0.000174822,3.36502e-05,8.8574e-05,0.000190986,0.000228188,0.000185713,0.000125259,0.000146407,9.58521e-05,0.000182632,0.000152933,0.000409051,7.63957e-05,0.000363079,0.000130917,0.000151092,0.000100993,0.000164051,0.000287653,0.000223829,0.000356316,0.000309158,0.000415199,0.000176992,0.000114921,0.000323411,0.000276848,0.00026123,0.000119677,0.000149638,8.76615e-05,8.52952e-05,0.000254676,0.000294277,9.06096e-05,0.000180221,0.000159586,0.000168865,0.000217457,7.71655e-05,0.000182065,0.00010272,0.000287835,6.96295e-05,0.000342021,0.00014156,0.000186266,0.000384547,0.000119711,0.000215995,0.000554794,0.000138268,0.000233983,0.000198156,3.89207e-05,0.000185616,0.000166228,8.38922e-05,0.000449581,2.99208e-05,9.80906e-05,0.000136659,0.000165712,0.00019297,0.000262858,0.000161199,0.00014946,0.000125196,0.000403086,0.000142123,3.22248e-05,0.000256231,6.28109e-05
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",0.000341753,0.000416447,0.000223027,0.00030653,0.00035322,0.000404867,0.000522531,0.000425155,0.000433105,0.000340069,0.000293181,0.000332886,0.00040454,0.000226701,0.000471506,0.000257363,0.000645659,0.000279559,0.000569539,0.000255191,0.000445835,0.000246858,0.000381661,0.000259769,0.000427159,0.000360734,0.000316837,0.000253998,0.000516298,0.000478626,0.000165326,0.000322627,0.000288231,0.000160079,0.000408179,0.000269364,0.00020505,0.000581094,0.000281929,0.000435564,0.000147643,0.000341452,0.000389784,0.000580612,0.000458455,0.00021905,0.000536726,0.000588802,0.000217226,0.000184447,0.000189028,0.000312069,0.000353917,0.000349506,0.000527745,0.00046161,0.000142942,0.000367708,0.000404898,0.000362745,0.000626438,0.000405263,0.000409983,0.000455852,0.000342056,0.000629233,0.000369367,0.000369707,0.000381553,0.000537813,0.000364594,0.000364054,0.000303798,0.000457393,0.000245405,0.000623522,0.000329736,0.000436553,0.000812629
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.00027939,0.000440727,0.000199378,0.000274696,0.000353344,0.00039651,0.000530485,0.000402587,0.000433577,0.000325069,0.000248436,0.000330721,0.000401439,0.000153346,0.000473764,0.000224128,0.000410859,0.000267494,0.000552445,0.000242331,0.000445171,0.000232551,0.000321187,0.00020098,0.000397545,0.000321735,0.000332803,0.000249371,0.000497381,0.00043549,0.000151313,0.000322111,0.000293561,0.000139518,0.000395139,0.000263024,0.000178504,0.000558326,0.000272369,0.000429901,0.000131636,0.000345352,0.000383449,0.000566294,0.000438209,0.000195588,0.000521719,0.000555292,0.000211817,0.000190847,0.000128954,0.000312779,0.00033505,0.000317507,0.000514142,0.000487148,0.0001392,0.000364652,0.000414,0.000339872,0.000587092,0.000395029,0.000407982,0.0005716,0.000309199,0.000570588,0.000355499,0.000380775,0.000360293,0.000524898,0.000343607,0.000347647,0.000275403,0.000470474,0.000236788,0.000598138,0.000309643,0.000406724,0.000882325
"ARO-PWY: chorismate biosynthesis I",0.000418272,0.000446432,0.000340737,0.000393426,0.000307256,0.000492394,0.000556577,0.000470322,0.000430008,0.00042964,0.000478817,0.000396075,0.000387412,0.00039641,0.000523682,0.000435713,0.000641519,0.000406648,0.000624622,0.000477126,0.000478453,0.000344451,0.000395744,0.000414966,0.000510185,0.000487589,0.000306609,0.000454675,0.0005295,0.000436123,0.00029696,0.000361339,0.000303117,0.000284259,0.000441409,0.000272747,0.000815177,0.000668178,0.000439034,0.000524603,0.000505466,0.000455613,0.000472874,0.00061314,0.000515957,0.000326691,0.000597547,0.000616768,0.000404761,0.000545034,0.000422374,0.000382553,0.000394596,0.000430493,0.000545152,0.000574187,0.000564139,0.000427464,0.000472861,0.000423984,0.000676019,0.000449702,0.000479378,0.000566256,0.000402276,0.000640325,0.000430493,0.000359703,0.00042444,0.000463712,0.000386918,0.000397705,0.000408383,0.000377479,0.000356499,0.000593005,0.000425616,0.000436111,0.000751995
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",0.000298131,9.37284e-05,0.000307047,0.000333574,0.000544349,0.000422317,0.000181076,0.000558484,0.00024725,0.000292725,0.000258202,0.000344078,0.000178972,0.00021513,0.00020482,0.000333906,0.000109508,0.000298128,0.000214777,0.000365485,0.000198731,0.000262216,0.000135129,0.000158523,0.000149828,0.000342232,0.000362621,0.0003143,0.000266785,0.000211547,0.0003795,0.000417723,0.000360637,0.000277231,0.000167589,0.000342209,0.000992244,0.000281863,0.000448138,0.00025886,0.000567146,0.000230342,0.000266473,0.000175547,0.000260208,0.000400975,0.000188513,0.000155382,0.000351722,0.000209251,0.000297318,0.000256034,0.000255646,0.000347047,0.000156477,0.000217041,0.00047325,0.000253044,0.000176451,0.000196717,0.000204057,0.000326026,0.000258827,0.000130324,0.000301626,0.000164292,0.000232923,0.000436044,0.000218377,0.000298009,0.00027748,0.000227222,0.000297482,0.00031447,0.000373222,0.000217864,0.000187344,0.000239874,0.000264173
"AST-PWY: L-arginine degradation II (AST pathway)",7.35399e-05,0,4.08281e-06,6.78382e-05,0.000172602,0.000315552,0,0.000308494,1.5854e-05,0,8.69188e-07,2.99328e-05,2.45917e-06,5.80696e-06,0,0,0,0,2.07032e-06,0,5.44437e-06,1.03756e-05,2.60942e-05,0,1.62834e-06,0,9.28398e-05,0,0,0,1.39313e-05,4.09198e-05,5.93017e-05,1.07437e-05,7.52414e-06,4.78677e-05,0,3.00878e-06,1.01033e-05,2.39079e-06,0,7.36394e-07,6.07592e-06,0,0,1.50667e-06,0,2.95055e-06,1.53819e-05,5.74715e-05,0,2.10081e-05,1.66553e-05,0,0,0,4.50511e-06,1.91288e-05,0,4.75825e-07,0,2.33746e-05,0,2.99297e-05,0,3.21373e-06,4.7314e-06,0.000100265,2.58211e-06,4.27662e-05,7.27776e-06,5.91374e-06,0,8.30217e-05,0,1.62314e-06,1.10859e-06,4.55728e-06,1.0188e-05
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",0.000251137,8.66049e-05,0.00012704,0.000261293,0.000346145,0.000373283,0.000110755,0.000389032,0.000168398,0.000159848,0.000169824,0.000218131,0.000119117,0.000166221,7.6182e-05,1.66937e-05,0.000257025,0.000131344,9.44526e-05,0.000123131,0.000144773,0.000163412,0.000172299,8.67218e-05,0.000175459,0.000252893,0.000310746,0.000114811,0.000126978,7.35524e-05,7.68351e-05,0.000300303,0.000245805,0.000180437,8.94608e-05,0.000224404,0,9.73342e-05,0.00012046,0.000126896,2.14893e-05,0.000112111,0.000112569,9.98626e-05,0.00012244,6.15538e-05,8.48303e-05,0.00011635,0.000177171,0.000292908,0.000198515,0.00016456,0.000152004,0.000154956,8.57283e-05,5.43433e-05,0.00031451,0.000174509,4.34007e-05,5.76169e-05,2.04859e-05,0.000162794,9.46441e-05,0.000148655,6.06144e-05,3.24903e-05,0.000110421,0.000381456,7.89876e-05,0.00017826,0.000156538,5.10798e-05,0.000115877,0.000275632,5.43387e-05,0.000113767,1.8964e-05,0.000145545,4.68481e-05
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",0.000365714,0.00044327,0.000514594,0.000561519,0.00040736,0.000505042,0.000476554,0.000564316,0.000394351,0.00037957,0.00046573,0.000464084,0.000253823,0.000351212,0.000467696,0.00065869,0.000372215,0.000542175,0.00047781,0.000519926,0.000469925,0.000393411,0.000389922,0.00044325,0.000511863,0.000426378,0.000410284,0.000500393,0.000606784,0.000406287,0.000660522,0.000392426,0.000367154,0.000303456,0.000381635,0.000372595,0.00214112,0.000289047,0.00043231,0.00051026,0.00102643,0.000378057,0.000452486,0.000494204,0.000484636,0.000674572,0.000483073,0.000417114,0.000518397,0.000361546,0.000412368,0.000367222,0.000436825,0.000531777,0.000494561,0.000534659,0.000579063,0.00039322,0.000518555,0.000428939,0.000476803,0.000468976,0.000394013,0.00048419,0.000664084,0.000343317,0.000521973,0.000409761,0.000416107,0.000518214,0.000425992,0.000486349,0.000512126,0.000506868,0.000504867,0.000427814,0.000454902,0.000403967,0.000660268
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.000443377,0.000383423,0.000291803,0.000362454,0.00042658,0.000614706,0.000302766,0.000697194,0.000414058,0.000388352,0.000273652,0.000407868,0.00030055,0.00032175,0.000453515,0.000402364,0.000215103,0.000453614,0.000354028,0.000276098,0.000388535,0.000329179,0.000259481,0.000413696,0.000327453,0.000225423,0.000380019,0.000395432,0.000440554,0.000219476,0.000423504,0.000413649,0.000407675,0.000244064,0.000344086,0.000331986,0.000705859,0.000274314,0.000417979,0.000461403,0.000575799,0.000370135,0.000416769,0.000436399,0.000297654,0.000391576,0.000441277,0.000401281,0.000364043,0.000497776,0.000195129,0.000405139,0.000397644,0.000396156,0.000380333,0.00039993,0.0003325,0.000437874,0.000390529,0.000331962,0.000302813,0.000440156,0.000254136,0.000417715,0.000495586,0.000423956,0.000338652,0.000433849,0.000230963,0.000417236,0.000315346,0.000362075,0.000339204,0.000452704,0.000374941,0.00038088,0.000371898,0.00041056,0.00071008
"CARNMET-PWY: L-carnitine degradation I",2.8321e-06,0,1.35491e-06,2.9149e-05,4.90044e-05,8.17711e-06,0,7.71764e-08,5.09525e-06,0,0,1.19231e-05,2.09456e-06,0,0,0,0,0,7.15663e-07,0,0,6.56326e-06,2.89918e-06,0,0,0,3.16598e-05,0,0,0,4.03591e-06,1.07611e-05,2.07555e-05,1.96036e-06,1.98972e-06,1.94575e-05,0,1.31295e-07,2.11264e-06,4.2415e-07,0,0,2.45705e-06,0,0,4.07489e-07,0,5.54228e-07,0,1.0824e-05,0,0,3.41338e-06,0,0,0,1.71038e-06,4.67162e-07,0,0,0,7.08551e-06,0,6.96385e-06,0,6.20871e-07,5.23798e-07,2.66705e-05,0,1.09399e-05,1.83431e-06,0,0,6.30561e-05,0,0,0,1.5792e-06,3.90886e-07
"CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate",2.89242e-05,0,0,3.75709e-06,1.04313e-05,0.000189488,0,0.000185668,0,0,2.53565e-06,0,3.2198e-07,1.20807e-05,0,0,0,0,0,0,0,0,1.5273e-05,0,0,0,0,0,0,0,1.75162e-06,0,0,0,0,0,0,4.30638e-06,0,0,0,0,1.47687e-06,0,6.92095e-07,0,0,0,8.98287e-06,3.72327e-05,0,2.59412e-05,0,0,0,0,0,1.79861e-05,0,0,0,0,0,0,0,0,1.10819e-06,8.00921e-06,0,0,0,0,0,0,0,2.34344e-06,0,0,3.42629e-06
"CENTFERM-PWY: pyruvate fermentation to butanoate",4.24745e-05,2.53086e-05,2.24748e-05,1.99537e-05,0,0,2.5587e-05,0,8.44699e-05,9.05524e-06,1.52235e-05,2.63535e-05,8.32912e-05,3.9977e-05,3.59325e-05,3.74928e-05,4.87761e-05,1.9312e-05,4.37195e-05,3.53089e-05,2.87689e-05,2.09329e-05,3.80762e-05,4.44841e-06,3.56243e-05,3.24187e-05,6.48808e-06,1.34091e-05,1.60137e-05,2.14949e-05,3.96812e-06,2.2098e-05,3.89626e-06,1.61224e-05,2.59003e-05,3.55776e-06,0,3.38e-05,3.78195e-05,1.01318e-05,6.48291e-06,1.86043e-05,4.64401e-05,3.89062e-05,5.30935e-05,4.19042e-05,3.24097e-05,4.31818e-05,3.79953e-05,2.53658e-05,0,1.9383e-05,3.60121e-05,2.67082e-05,4.63424e-05,4.93164e-05,4.19494e-05,3.26001e-05,4.09751e-05,1.96093e-05,5.35206e-05,3.75825e-05,1.37062e-05,3.0776e-05,3.54921e-05,2.91528e-05,3.91047e-05,0,2.27081e-05,8.88736e-05,4.64736e-05,4.44183e-05,2.08141e-05,0.000108996,0.000103963,6.25497e-05,2.62426e-05,8.7979e-05,2.96911e-05
"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",0,0,0,3.90897e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6018e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71054e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11769e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
